Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
225,University of São Paulo,Brazil,52.15,55.8,58.9,43.3,42.3,35.9
450,University of Campinas,Brazil,42.45,47.2,44.9,36.2,47.7,33.0
700,Federal University of Minas Gerais,Brazil,34.95,33.3,18.8,50.0,39.3,29.5
700,Universidade Federal do Rio Grande do Sul,Brazil,34.95,31.5,20.0,49.5,46.7,28.1
700,Universidade Federal de Sergipe,Brazil,34.95,17.7,9.5,87.0,34.8,22.2
900,Universidade Federal de Santa Catarina,Brazil,29.55,28.1,13.8,47.1,44.4,30.9
900,Universidade Federal de São Paulo (UNIFESP),Brazil,29.55,27.4,17.7,46.5,35.3,29.2
900,University of Fortaleza (UNIFOR),Brazil,29.55,16.7,8.4,65.2,34.8,35.6
900,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,29.55,29.1,29.1,28.0,100.0,37.8
900,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,29.55,22.9,14.3,46.9,61.3,31.2
1100,University of Brasília,Brazil,24.75,26.2,13.0,35.0,41.7,31.5
1100,Universidade Estadual Paulista (Unesp),Brazil,24.75,33.4,24.5,18.6,39.6,29.2
1100,Universidade Federal do ABC (UFABC),Brazil,24.75,17.2,13.7,34.0,35.6,35.5
1100,Federal University of Pelotas,Brazil,24.75,18.4,12.2,37.2,34.8,20.5
1100,Federal University of Rio de Janeiro,Brazil,24.75,31.9,22.0,23.1,64.2,29.6
1100,Pontifícia Universidade Católica do Paraná,Brazil,24.75,20.5,12.4,37.4,38.0,27.2
1201,University of Caxias do Sul,Brazil,16.45,15.4,8.7,11.0,35.3,18.2
1201,Ceará State University,Brazil,16.45,18.1,9.4,6.8,36.0,18.5
1201,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,16.45,25.9,11.1,16.3,39.6,22.9
1201,Universidade do Estado de Santa Catarina,Brazil,16.45,21.9,10.6,25.3,35.0,17.3
1201,Universidade Estadual de Maringá,Brazil,16.45,22.8,12.0,13.1,35.1,18.7
1201,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,16.45,22.0,14.4,5.7,42.8,16.5
1201,Universidade Federal da Bahia,Brazil,16.45,23.8,14.3,22.7,35.1,23.7
1201,Universidade Federal do Ceará (UFC),Brazil,16.45,22.4,12.1,17.8,36.1,26.4
1201,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,16.45,18.5,12.1,16.3,34.8,20.1
1201,Universidade Federal do Triângulo Mineiro,Brazil,16.45,20.5,9.2,21.8,36.2,19.7
1201,Federal University of Espírito Santo,Brazil,16.45,19.6,10.9,19.2,35.7,24.1
1201,Federal University of Goiás,Brazil,16.45,21.5,11.8,15.7,39.2,22.4
1201,Universidade Federal da Grande Dourados,Brazil,16.45,35.4,9.2,7.9,34.8,16.9
1201,Federal University of Itajubá,Brazil,16.45,17.5,9.9,20.8,38.3,24.3
1201,Universidade Federal de Juiz de Fora,Brazil,16.45,20.0,10.6,24.9,35.4,21.8
1201,Federal University of Lavras,Brazil,16.45,25.5,16.9,15.8,54.0,22.0
1201,Universidade Federal do Maranhão (UFMA),Brazil,16.45,20.5,8.6,16.0,35.6,19.4
1201,Federal University of Mato Grosso do Sul,Brazil,16.45,17.0,9.7,13.0,38.1,20.4
1201,Universidade Federal de Ouro Preto (UFOP),Brazil,16.45,18.2,11.2,19.1,39.6,21.7
1201,Federal University of Pará,Brazil,16.45,19.0,10.3,14.9,38.6,23.6
1201,Universidade Federal do Paraná (UFPR),Brazil,16.45,25.6,12.3,16.3,35.3,23.5
1201,Universidade Federal de Pernambuco,Brazil,16.45,26.7,10.2,16.4,36.3,22.2
1201,Federal University of Piauí,Brazil,16.45,14.4,9.9,10.8,35.6,22.1
1201,Federal University of Rio Grande do Norte (UFRN),Brazil,16.45,22.6,9.9,19.7,37.8,27.4
1201,Federal Rural University of Pernambuco,Brazil,16.45,18.2,9.5,7.2,34.8,18.4
1201,Universidade Federal Rural do Semi-Arido,Brazil,16.45,24.0,8.4,2.4,34.8,15.1
1201,Federal University of Santa Maria,Brazil,16.45,22.3,12.5,18.6,35.7,18.9
1201,Federal University of Tocantins,Brazil,16.45,17.4,8.4,6.3,34.8,18.9
1201,Federal University of Uberlândia,Brazil,16.45,21.1,11.1,26.8,41.7,21.1
1201,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,16.45,18.0,7.5,7.0,34.8,17.0
1201,Federal University of Viçosa,Brazil,16.45,25.7,14.7,16.8,46.3,20.8
1201,Fluminense Federal University,Brazil,16.45,21.8,11.0,14.6,35.4,26.4
1201,Londrina State University,Brazil,16.45,23.3,13.4,15.3,53.1,20.1
1201,Mackenzie Presbyterian University,Brazil,16.45,17.2,10.8,13.9,44.0,21.8
