Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1501+,Federal University of Itajubá,Brazil,10.5–25.1,19.3,9.7,19.3,24.7,28.6
1501+,Federal University of Mato Grosso do Sul,Brazil,10.5–25.1,20.1,11.3,24.2,35.9,30.1
1501+,Federal University of Pará,Brazil,10.5–25.1,21.9,12.1,21.0,23.3,25.9
1501+,Federal University of Pelotas,Brazil,10.5–25.1,19.2,14.4,28.6,24.4,23.9
1501+,Universidade Federal de Pernambuco,Brazil,10.5–25.1,32.6,13.6,24.1,51.0,25.9
1501+,Federal University of Rio Grande do Norte (UFRN),Brazil,10.5–25.1,24.2,12.9,26.9,33.8,33.2
1501+,Federal University of Viçosa,Brazil,10.5–25.1,32.2,12.6,23.2,29.8,24.6
1501+,Fluminense Federal University,Brazil,10.5–25.1,21.6,13.5,28.6,26.9,31.5
1501+,Londrina State University,Brazil,10.5–25.1,31.8,16.7,19.6,34.6,24.7
1501+,Mackenzie Presbyterian University,Brazil,10.5–25.1,19.7,11.7,12.3,24.7,29.7
1501+,Pontifical Catholic University of Minas Gerais,Brazil,10.5–25.1,16.1,10.2,13.9,20.0,25.4
1501+,State University of Bahia,Brazil,10.5–25.1,18.7,8.5,4.9,16.8,20.8
1501+,State University of Ponta Grossa,Brazil,10.5–25.1,26.6,11.7,15.9,19.0,26.9
1501+,State University of Santa Cruz,Brazil,10.5–25.1,22.8,9.7,15.5,19.6,40.8
1501+,Universidade do Estado de Santa Catarina,Brazil,10.5–25.1,28.3,11.5,16.2,23.1,22.1
1501+,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,10.5–25.1,34.0,14.9,24.1,29.5,29.5
1501+,Universidade Estadual de Feira de Santana (UEFS),Brazil,10.5–25.1,21.2,9.3,13.7,17.7,26.8
1501+,Universidade Estadual de Maringá,Brazil,10.5–25.1,31.6,14.0,19.3,26.2,22.6
1501+,Universidade Estadual do Maranhão,Brazil,10.5–25.1,12.5,9.2,6.1,15.9,22.0
1501+,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,10.5–25.1,30.6,11.7,21.9,21.2,35.3
1501+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,10.5–25.1,27.9,9.8,8.2,18.1,21.1
1501+,Universidade Federal da Bahia,Brazil,10.5–25.1,28.8,12.4,27.1,22.6,29.4
1501+,Universidade Federal da Grande Dourados,Brazil,10.5–25.1,26.3,9.8,9.1,19.3,22.9
1501+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,10.5–25.1,21.1,12.9,26.2,29.0,28.3
1501+,Universidade Federal de Juiz de Fora,Brazil,10.5–25.1,22.8,12.4,30.9,23.1,29.7
1501+,Universidade Federal de Sergipe,Brazil,10.5–25.1,19.4,10.4,26.0,21.2,29.1
1501+,Universidade Federal do Ceará (UFC),Brazil,10.5–25.1,25.9,17.8,25.4,45.6,26.9
1501+,Universidade Federal do Maranhão (UFMA),Brazil,10.5–25.1,15.2,11.1,15.0,25.6,23.2
1501+,Universidade Federal Rural do Semi-Arido,Brazil,10.5–25.1,20.4,8.9,6.2,16.7,18.5
1501+,Universidade Nove de Julho (Uninove),Brazil,10.5–25.1,17.9,8.4,10.7,17.9,28.6
1501+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,10.5–25.1,18.6,10.3,23.4,46.4,26.1
1501+,University of Caxias do Sul,Brazil,10.5–25.1,16.1,9.2,21.7,21.3,23.3
1501+,University of Fortaleza (UNIFOR),Brazil,10.5–25.1,14.4,9.1,19.8,17.7,32.3
1501+,University of Passo Fundo (UPF),Brazil,10.5–25.1,21.3,11.7,26.3,18.3,27.3
1501+,University of Pernambuco,Brazil,10.5–25.1,16.1,10.5,13.6,18.9,26.1
