Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
199,University of São Paulo,Brazil,58.7,58.8,60.7,55.7,93.9,43.0
351–400,University of Campinas,Brazil,49.4–51.0,48.8,47.2,51.0,76.7,40.6
601–800,Federal University of Rio de Janeiro,Brazil,38.2–43.2,41.3,37.3,37.0,84.0,36.4
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,38.2–43.2,35.8,33.5,39.7,74.7,43.2
601–800,Universidade Federal do Rio Grande do Sul,Brazil,38.2–43.2,36.7,24.1,53.3,56.1,34.8
1–1000,Federal University of Minas Gerais,Brazil,34.5–38.1,40.9,21.5,40.3,49.5,32.4
801–1000,Universidade Estadual Paulista (Unesp),Brazil,34.5–38.1,41.6,32.9,36.8,48.3,38.8
801–1000,Universidade Federal de São Paulo (UNIFESP),Brazil,34.5–38.1,32.4,23.3,44.6,55.0,35.4
1001–1200,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,30.7–34.4,33.2,19.5,40.7,58.6,36.4
1001–1200,Universidade Federal de Santa Catarina,Brazil,30.7–34.4,33.7,22.4,40.4,66.2,35.9
1201–1500,Federal University of Lavras,Brazil,25.2–30.6,30.7,17.0,28.4,29.1,28.2
1201–1500,Federal University of Santa Maria,Brazil,25.2–30.6,33.4,12.1,34.1,28.7,25.8
1201–1500,Federal University of São Carlos,Brazil,25.2–30.6,33.4,20.9,33.1,51.5,31.5
1201–1500,Federal University of Uberlândia,Brazil,25.2–30.6,27.7,13.5,34.7,42.4,24.7
1201–1500,Pontifícia Universidade Católica do Paraná,Brazil,25.2–30.6,24.8,13.5,42.2,44.9,31.2
1201–1500,Unisinos University,Brazil,25.2–30.6,31.8,18.6,23.1,36.3,29.0
1201–1500,Universidade Federal do ABC (UFABC),Brazil,25.2–30.6,16.4,16.1,39.4,26.3,45.7
1201–1500,Universidade Federal do Paraná (UFPR),Brazil,25.2–30.6,34.2,17.0,28.1,47.6,34.0
1201–1500,University of Brasília,Brazil,25.2–30.6,31.3,15.5,27.5,28.9,36.6
1501+,Catholic University of Brasília,Brazil,10.5–25.1,27.3,12.5,12.3,20.9,37.4
1501+,Ceará State University,Brazil,10.5–25.1,23.8,11.5,9.7,18.5,21.0
1501+,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,10.5–25.1,12.9,9.9,19.5,17.7,30.8
1501+,"Federal Institute of Education, Science and Technology of São Paulo",Brazil,10.5–25.1,17.9,6.9,7.7,16.2,22.6
1501+,Federal Rural University of Pernambuco,Brazil,10.5–25.1,28.0,11.0,18.6,22.0,24.5
1501+,Federal University of Espírito Santo,Brazil,10.5–25.1,23.8,12.3,25.4,47.1,29.5
1501+,Federal University of Goiás,Brazil,10.5–25.1,30.2,12.7,24.5,25.2,27.9
