Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
251–300,University of São Paulo,Brazil,45.2–48.2,52.9,55.5,31.5,38.1,30.9
401–500,University of Campinas,Brazil,35.0–39.9,43.5,40.0,31.7,45.5,27.1
501–600,Universidade Federal de São Paulo (UNIFESP),Brazil,30.7–34.9,35.8,16.9,41.2,34.0,24.6
601–800,Universidade Estadual Paulista (Unesp),Brazil,21.5–30.6,33.7,21.6,12.7,33.1,22.2
601–800,Universidade Federal do ABC (UFABC),Brazil,21.5–30.6,29.2,12.1,29.3,34.5,32.8
601–800,Federal University of Itajubá,Brazil,21.5–30.6,29.5,20.4,11.8,100.0,19.6
601–800,Federal University of Minas Gerais,Brazil,21.5–30.6,29.3,14.5,30.8,34.3,24.8
601–800,Federal University of Rio de Janeiro,Brazil,21.5–30.6,30.2,19.8,23.2,40.5,28.3
601–800,Universidade Federal do Rio Grande do Sul,Brazil,21.5–30.6,30.0,9.0,30.7,6.1,23.5
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,21.5–30.6,27.5,23.1,21.5,99.8,40.3
801–1000,University of Brasília,Brazil,15.6–21.4,23.4,12.4,19.1,31.7,31.2
801–1000,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,15.6–21.4,21.4,9.9,12.8,40.4,19.7
801–1000,Universidade Federal do Ceará (UFC),Brazil,15.6–21.4,22.1,9.1,18.8,33.0,22.1
801–1000,Federal University of Pelotas,Brazil,15.6–21.4,18.3,8.1,35.0,1.1,19.7
801–1000,Universidade Federal de Pernambuco,Brazil,15.6–21.4,23.2,9.1,14.6,47.0,20.4
801–1000,Federal University of Rio Grande do Norte (UFRN),Brazil,15.6–21.4,19.9,8.3,15.8,42.1,20.6
801–1000,Universidade Federal de Santa Catarina,Brazil,15.6–21.4,25.0,10.6,23.6,38.4,26.1
801–1000,Federal University of São Carlos,Brazil,15.6–21.4,25.5,12.0,15.9,32.3,22.4
801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,15.6–21.4,22.7,12.6,25.7,45.4,25.0
801–1000,Pontifícia Universidade Católica do Paraná,Brazil,15.6–21.4,17.1,8.6,27.7,34.5,23.0
801–1000,State University of Ponta Grossa,Brazil,15.6–21.4,20.1,17.8,13.2,31.7,15.5
1001+,Universidade Estadual de Maringá,Brazil,9.2–15.5,18.8,9.3,6.0,32.0,15.2
1001+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,9.2–15.5,22.4,4.6,2.4,31.9,13.6
1001+,Federal University of Goiás,Brazil,9.2–15.5,18.7,7.3,13.6,31.7,17.6
1001+,Federal University of Lavras,Brazil,9.2–15.5,25.1,11.3,7.0,33.7,17.1
1001+,Universidade Federal de Ouro Preto (UFOP),Brazil,9.2–15.5,16.6,5.5,18.0,32.4,19.5
1001+,Universidade Federal do Paraná (UFPR),Brazil,9.2–15.5,19.6,5.3,9.2,31.7,20.4
1001+,Federal University of Santa Maria,Brazil,9.2–15.5,22.3,5.1,9.3,33.3,15.8
1001+,Federal University of Viçosa,Brazil,9.2–15.5,25.8,7.4,8.7,50.3,19.1
1001+,Fluminense Federal University,Brazil,9.2–15.5,17.8,8.6,12.2,32.0,24.1
1001+,Londrina State University,Brazil,9.2–15.5,23.8,9.4,10.6,31.8,16.3
1001+,Unisinos University,Brazil,9.2–15.5,23.0,12.0,5.6,33.2,17.9
