Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
225,University of São Paulo,Brazil,52.75,54.5,61.5,43.3,43.0,37.2
450,University of Campinas,Brazil,43.5,47.9,46.7,38.4,44.4,34.1
700,Universidade Federal do Rio Grande do Sul,Brazil,36.6,32.1,21.9,50.8,39.8,28.7
700,Universidade Federal de São Paulo (UNIFESP),Brazil,36.6,29.6,21.4,55.4,37.3,30.5
900,Federal University of Minas Gerais,Brazil,31.85,34.2,19.1,42.2,38.7,29.4
900,Universidade Federal de Sergipe,Brazil,31.85,17.4,9.9,67.2,36.9,23.1
900,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,31.85,28.1,25.6,30.9,94.6,37.4
900,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,31.85,25.6,17.1,50.2,41.7,29.6
1100,Universidade Estadual Paulista (Unesp),Brazil,27.05,33.6,28.8,16.3,41.6,30.3
1100,Federal University of Rio de Janeiro,Brazil,27.05,38.7,25.3,21.3,66.5,30.3
1100,Universidade Federal de Santa Catarina,Brazil,27.05,30.2,19.2,35.9,54.4,30.1
1100,University of Fortaleza (UNIFOR),Brazil,27.05,16.4,8.6,57.6,37.7,35.3
1350,University of Brasília,Brazil,21.35,27.3,15.8,23.5,49.5,31.2
1350,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,21.35,24.9,12.4,17.4,39.9,24.2
1350,Universidade Federal do ABC (UFABC),Brazil,21.35,17.6,15.4,32.6,38.1,34.9
1350,Universidade Federal da Bahia,Brazil,21.35,24.6,11.1,25.6,37.2,24.6
1350,Federal University of Espírito Santo,Brazil,21.35,20.4,12.2,22.5,42.1,24.8
1350,Federal University of Goiás,Brazil,21.35,22.5,13.0,19.2,38.8,23.7
1350,Federal University of Lavras,Brazil,21.35,24.7,17.1,15.7,54.3,23.1
1350,Universidade Federal do Paraná (UFPR),Brazil,21.35,25.4,16.0,15.2,39.1,23.9
1350,Federal University of Rio Grande do Norte (UFRN),Brazil,21.35,22.2,10.1,34.0,38.5,27.1
1350,Federal University of Santa Maria,Brazil,21.35,22.1,12.1,33.9,37.8,21.5
1350,Federal University of São Carlos,Brazil,21.35,28.1,19.0,18.4,42.8,26.1
1350,Federal University of Uberlândia,Brazil,21.35,23.0,11.1,34.6,39.4,21.4
1350,Federal University of Viçosa,Brazil,21.35,28.3,16.7,15.2,43.7,21.7
1501,Ceará State University,Brazil,14.35,17.9,10.0,5.1,38.1,18.6
1501,Universidade do Estado de Santa Catarina,Brazil,14.35,19.7,11.1,16.3,37.1,18.1
1501,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,14.35,22.1,12.4,11.3,40.0,29.6
1501,Universidade Estadual de Maringá,Brazil,14.35,22.9,13.3,11.4,37.4,19.1
1501,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,14.35,22.2,9.3,4.8,37.0,17.9
1501,Universidade Federal do Ceará (UFC),Brazil,14.35,21.3,13.6,15.5,39.3,24.7
1501,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,14.35,18.1,12.4,19.9,36.9,21.7
1501,Universidade Federal do Triângulo Mineiro,Brazil,14.35,14.0,9.4,23.0,36.9,21.1
1501,Universidade Federal do Vale do São Francisco,Brazil,14.35,16.6,7.4,4.1,36.9,17.3
1501,Federal University of Itajubá,Brazil,14.35,16.7,9.6,14.9,40.0,24.2
1501,Universidade Federal de Juiz de Fora,Brazil,14.35,18.0,10.8,18.6,37.9,22.9
1501,Universidade Federal do Maranhão (UFMA),Brazil,14.35,16.4,8.8,12.6,37.1,20.1
1501,Federal University of Mato Grosso do Sul,Brazil,14.35,18.1,10.4,17.4,41.9,23.2
1501,Universidade Federal de Ouro Preto (UFOP),Brazil,14.35,20.0,11.6,13.7,40.4,20.7
1501,Federal University of Pará,Brazil,14.35,19.5,10.7,12.7,39.0,23.6
1501,Federal University of Paraíba (UFPB),Brazil,14.35,18.4,8.1,13.0,36.9,21.7
1501,Federal University of Pelotas,Brazil,14.35,18.4,13.4,19.2,37.7,20.2
1501,Universidade Federal de Pernambuco,Brazil,14.35,25.8,11.0,15.0,39.6,21.8
1501,Federal University of Piauí,Brazil,14.35,13.9,10.5,13.9,37.8,25.4
1501,Federal Rural University of Pernambuco,Brazil,14.35,16.8,10.2,8.3,37.1,20.1
1501,Universidade Federal Rural do Semi-Arido,Brazil,14.35,26.0,9.4,2.4,44.0,15.8
1501,Federal University of the State of Rio de Janeiro (UNIRIO),Brazil,14.35,20.4,10.9,7.3,36.9,33.0
1501,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,14.35,17.0,8.8,6.4,36.9,18.2
1501,Fluminense Federal University,Brazil,14.35,18.8,12.1,16.7,39.1,25.0
1501,Mackenzie Presbyterian University,Brazil,14.35,17.4,10.0,10.4,37.6,24.3
1501,Universidade Nove de Julho (Uninove),Brazil,14.35,18.4,7.7,11.7,37.9,22.2
1501,University of Passo Fundo (UPF),Brazil,14.35,16.9,10.1,23.1,37.0,23.9
1501,University of Pernambuco,Brazil,14.35,16.0,10.0,17.8,37.4,24.8
1501,Pontifical Catholic University of Minas Gerais,Brazil,14.35,17.6,9.4,6.8,37.2,21.3
1501,State University of Ponta Grossa,Brazil,14.35,20.7,9.9,18.2,37.1,22.8
1501,State University of Santa Cruz,Brazil,14.35,21.3,9.2,17.1,37.3,28.7
1501,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,14.35,16.4,10.1,12.6,37.4,22.1
